ts,selected,n_selected,raw_strategy_ret,turnover,cost,strategy_ret,equity,window,model
2022-11-19,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-20,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-21,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-22,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-23,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-24,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-25,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-26,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-27,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-28,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-29,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-11-30,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-01,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-02,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-03,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-04,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-05,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-06,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-07,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-08,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-09,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-10,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-11,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-12,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-13,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-14,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-15,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-16,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-17,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-18,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-19,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-20,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-21,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-22,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-23,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-24,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-25,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-26,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-27,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-28,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-29,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-30,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2022-12-31,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-01,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-02,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-03,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-04,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-05,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-06,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-07,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-08,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-09,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-10,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-11,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-12,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-13,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-14,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-15,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-16,,0,0.0,0.0,0.0,0.0,4.052962335148773,6,rs
2023-01-17,LTCUSDT,1,-0.05056308894507,1.0,0.002,-0.05256308894507,3.839926115435329,6,rs
2023-01-18,,0,0.0,1.0,0.002,-0.002,3.8322462632044583,6,rs
2023-01-19,,0,0.0,0.0,0.0,0.0,3.8322462632044583,6,rs
2023-01-20,LTCUSDT,1,-0.026251661497563195,1.0,0.002,-0.028251661497563196,3.7239789390011047,6,rs
2023-01-21,LTCUSDT,1,-0.003753839153679883,0.0,0.0,-0.003753839153679883,3.709999721052403,6,rs
2023-01-22,LTCUSDT,1,0.026490066225165698,0.0,0.0,0.026490066225165698,3.8082778593584274,6,rs
2023-01-23,LTCUSDT,1,-0.030144605116796508,0.0,0.0,-0.030144605116796508,3.6934788271130286,6,rs
2023-01-24,LTCUSDT,1,0.025117559353136754,0.0,0.0,0.025117559353136754,3.786250000772594,6,rs
2023-01-25,LTCUSDT,1,-0.020810024614007605,0.0,0.0,-0.020810024614007605,3.70745804506173,6,rs
2023-01-26,LTCUSDT,1,0.015653564899451577,0.0,0.0,0.015653564899451577,3.7654929801820973,6,rs
2023-01-27,LTCUSDT,1,0.008774890313871131,0.0,0.0,0.008774890313871131,3.798534768060847,6,rs
2023-01-28,LTCUSDT,1,0.05765584922493594,0.0,0.0,0.05765584922493594,4.01754251592384,6,rs
2023-01-29,LTCUSDT,1,-0.03658793757908052,0.0,0.0,-0.03658793757908052,3.8705489211299167,6,rs
2023-01-30,LTCUSDT,1,0.02976907081098834,0.0,0.0,0.02976907081098834,3.9857715660404276,6,rs
2023-01-31,LTCUSDT,1,0.06631948134764576,0.0,0.0,0.06631948134764576,4.250105869070422,6,rs
2023-02-01,LTCUSDT,1,-0.016844413435662342,0.0,0.0,-0.016844413435662342,4.178515328666465,6,rs
2023-02-02,LTCUSDT,1,0.01236820762368196,0.0,0.0,0.01236820762368196,4.230196073810149,6,rs
2023-02-03,LTCUSDT,1,-0.013518926497095851,0.0,0.0,-0.013518926497095851,4.173008364020006,6,rs
2023-02-04,LTCUSDT,1,-0.019084356918079526,0.0,0.0,-0.019084356918079526,4.093369182978917,6,rs
2023-02-05,LTCUSDT,1,-0.007244127082686402,0.0,0.0,-0.007244127082686402,4.063716296421066,6,rs
2023-02-06,LTCUSDT,1,0.051391639737308425,0.0,0.0,0.051391639737308425,4.272557340321367,6,rs
2023-02-07,LTCUSDT,1,-0.016260162601625994,0.0,0.0,-0.016260162601625994,4.20308486324297,6,rs
2023-02-08,LTCUSDT,1,-0.07226365652086275,0.0,0.0,-0.07226365652086275,3.899354582357543,6,rs
2023-02-09,,0,0.0,1.0,0.002,-0.002,3.8915558731928277,6,rs
2023-02-10,,0,0.0,0.0,0.0,0.0,3.8915558731928277,6,rs
2023-02-11,,0,0.0,0.0,0.0,0.0,3.8915558731928277,6,rs
2023-02-12,,0,0.0,0.0,0.0,0.0,3.8915558731928277,6,rs
2023-02-13,,0,0.0,0.0,0.0,0.0,3.8915558731928277,6,rs
2023-02-14,,0,0.0,0.0,0.0,0.0,3.8915558731928277,6,rs
2023-02-15,LTCUSDT,1,-0.04152888543084998,1.0,0.002,-0.043528885430849984,3.7221607834408657,6,rs
2023-02-16,,0,0.0,1.0,0.002,-0.002,3.714716461873984,6,rs
2023-02-17,LTCUSDT,1,-0.004095085896923756,1.0,0.002,-0.006095085896923756,3.6920749459561453,6,rs
2023-02-18,LTCUSDT,1,-0.022866312305686365,0.0,0.0,-0.022866312305686365,3.607650807185912,6,rs
2023-02-19,LTCUSDT,1,-0.01570358205891409,0.0,0.0,-0.01570358205891409,3.5509977666953603,6,rs
2023-02-20,LTCUSDT,1,-0.021897810218978186,0.0,0.0,-0.021897810218978186,3.47323869151225,6,rs
2023-02-21,LTCUSDT,1,0.01577825159914714,0.0,0.0,0.01577825159914714,3.528040325450823,6,rs
2023-02-22,LTCUSDT,1,-0.007241813602015035,0.0,0.0,-0.007241813602015035,3.5024909150335155,6,rs
2023-02-23,LTCUSDT,1,-0.03213870387990281,0.0,0.0,-0.03213870387990281,3.3899253966732035,6,rs
2023-02-24,,0,0.0,1.0,0.002,-0.002,3.383145545879857,6,rs
2023-02-25,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-02-26,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-02-27,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-02-28,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-01,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-02,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-03,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-04,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-05,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-06,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-07,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-08,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-09,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-10,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-11,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-12,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-13,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-14,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-15,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-16,,0,0.0,0.0,0.0,0.0,3.383145545879857,6,rs
2023-03-17,BTCUSDT,1,-0.017800244057976755,1.0,0.002,-0.019800244057976757,3.316158438387779,6,rs
2023-03-18,BTCUSDT,1,0.039594179910500626,0.0,0.0,0.039594179910500626,3.4474590122090296,6,rs
2023-03-19,BTCUSDT,1,-0.009146719660871439,0.0,0.0,-0.009146719660871439,3.415926071082009,6,rs
2023-03-20,BTCUSDT,1,0.014015220256441863,0.0,0.0,0.014015220256441863,3.4638010273479454,6,rs
2023-03-21,BTCUSDT,1,-0.030403334297558482,0.0,0.0,-0.030403334297558482,3.358489926773259,6,rs
2023-03-22,BTCUSDT,1,0.038326709104299805,0.0,0.0,0.038326709104299805,3.4872097932264188,6,rs
2023-03-23,BTCUSDT,1,-0.029720014659621374,0.0,0.0,-0.029720014659621374,3.3835698670505545,6,rs
2023-03-24,BTCUSDT,1,0.0003088750210802349,0.0,0.0,0.0003088750210802349,3.3846149672645662,6,rs
2023-03-25,BTCUSDT,1,0.018392051837111456,0.0,0.0,0.018392051837111456,3.4468649811911596,6,rs
2023-03-26,BTCUSDT,1,-0.030146542215134797,0.0,0.0,-0.030146542215134797,3.3429539205258103,6,rs
2023-03-27,BTCUSDT,1,0.005019740157663266,0.0,0.0,0.005019740157663266,3.3597346805658916,6,rs
2023-03-28,BTCUSDT,1,0.03989315166279228,0.0,0.0,0.03989315166279228,3.4937650857244495,6,rs
2023-03-29,BTCUSDT,1,-0.011290504645732002,0.0,0.0,-0.011290504645732002,3.4543187147929815,6,rs
2023-03-30,BTCUSDT,1,0.015585191231934026,0.0,0.0,0.015585191231934026,3.5081549325390786,6,rs
2023-03-31,BTCUSDT,1,-0.00044369718141634706,0.0,0.0,-0.00044369718141634706,3.506598374083539,6,rs
2023-04-01,BTCUSDT,1,-0.0098711090289052,0.0,0.0,-0.0098711090289052,3.471984359212379,6,rs
2023-04-02,BTCUSDT,1,-0.013200046713263913,0.0,0.0,-0.013200046713263913,3.4261540034830538,6,rs
2023-04-03,BTCUSDT,1,0.013146402877697971,0.0,0.0,0.013146402877697971,3.4711956043338796,6,rs
2023-04-04,BTCUSDT,1,0.00016119028015504355,0.0,0.0,0.00016119028015504355,3.471755127325815,6,rs
2023-04-05,BTCUSDT,1,-0.004834574073633635,0.0,0.0,-0.004834574073633635,3.454970669997241,6,rs
2023-04-06,BTCUSDT,1,-0.004547721288072681,0.0,0.0,-0.004547721288072681,3.439258426331628,6,rs
2023-04-07,BTCUSDT,1,0.0011484849494720617,0.0,0.0,0.0011484849494720617,3.443208362871615,6,rs
2023-04-08,,0,0.0,1.0,0.002,-0.002,3.4363219461458714,7,rs
2023-04-09,ETHUSDT,1,0.027585910098336663,1.0,0.002,0.02558591009833666,3.524243370528901,7,rs
2023-04-10,BTCUSDT,1,0.01899900598366777,2.0,0.004,0.014999005983667772,3.5771035179313655,7,rs
2023-04-11,BTCUSDT,1,-0.010342571394702404,0.0,0.0,-0.010342571394702404,3.540107069410919,7,rs
2023-04-12,BTCUSDT,1,0.01625297317625396,0.0,0.0,0.01625297317625396,3.5976443346511218,7,rs
2023-04-13,ETHUSDT,1,0.043727416861745194,2.0,0.004,0.03972741686174519,3.7405694508541028,7,rs
2023-04-14,ETHUSDT,1,-0.004471449864046906,0.0,0.0,-0.004471449864046906,3.723843682091623,7,rs
2023-04-15,ETHUSDT,1,0.013426767435186227,0.0,0.0,0.013426767435186227,3.773842865176055,7,rs
2023-04-16,ETHUSDT,1,-0.02108398193206118,0.0,0.0,-0.02108398193206118,3.694275230392245,7,rs
2023-04-17,ETHUSDT,1,0.014223722275795492,0.0,0.0,0.014223722275795492,3.7468215752796947,7,rs
2023-04-18,ETHUSDT,1,-0.08070834323746134,0.0,0.0,-0.08070834323746134,3.4444218135324953,7,rs
2023-04-19,ETHUSDT,1,0.004783501316109273,0.0,0.0,0.004783501316109273,3.4608982098107637,7,rs
2023-04-20,,0,0.0,1.0,0.002,-0.002,3.453976413391142,7,rs
2023-04-21,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-04-22,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-04-23,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-04-24,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-04-25,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-04-26,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-04-27,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-04-28,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-04-29,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-04-30,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-01,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-02,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-03,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-04,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-05,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-06,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-07,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-08,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-09,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-10,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-11,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-12,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-13,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-14,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-15,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-16,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-17,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-18,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-19,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-20,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-21,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-22,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-23,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-24,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-25,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-26,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-27,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-28,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-29,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-30,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-05-31,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-01,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-02,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-03,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-04,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-05,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-06,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-07,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-08,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-09,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-10,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-11,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-12,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-13,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-14,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-15,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-16,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-17,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-18,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-19,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-20,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-21,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-22,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-23,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-24,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-25,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-26,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-27,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-28,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-29,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-06-30,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-01,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-02,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-03,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-04,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-05,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-06,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-07,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-08,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-09,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-10,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-11,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-12,,0,0.0,0.0,0.0,0.0,3.453976413391142,7,rs
2023-07-13,TRXUSDT,1,-0.022396279525149887,1.0,0.002,-0.02439627952514989,3.3697122393367773,7,rs
2023-07-14,,0,0.0,1.0,0.002,-0.002,3.3629728148581037,7,rs
2023-07-15,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-16,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-17,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-18,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-19,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-20,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-21,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-22,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-23,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-24,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-25,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-26,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-27,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-28,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-29,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-30,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-07-31,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-01,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-02,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-03,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-04,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-05,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-06,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-07,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-08,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-09,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-10,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-11,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-12,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-13,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-14,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-15,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-16,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-17,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-18,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-19,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-20,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-21,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-22,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-23,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-24,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-25,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-26,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-27,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-28,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-29,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-30,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-08-31,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-01,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-02,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-03,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-04,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-05,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-06,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-07,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-08,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-09,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-10,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-11,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-12,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-13,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-14,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-15,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-16,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-17,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-18,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-19,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-20,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-21,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-22,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-23,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-24,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-25,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-26,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-27,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-28,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-29,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-09-30,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-10-01,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-10-02,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-10-03,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-10-04,,0,0.0,0.0,0.0,0.0,3.3629728148581037,7,rs
2023-10-05,,0,0.0,0.0,0.0,0.0,3.3629728148581037,8,rs
2023-10-06,,0,0.0,0.0,0.0,0.0,3.3629728148581037,8,rs
2023-10-07,,0,0.0,0.0,0.0,0.0,3.3629728148581037,8,rs
2023-10-08,,0,0.0,0.0,0.0,0.0,3.3629728148581037,8,rs
2023-10-09,,0,0.0,0.0,0.0,0.0,3.3629728148581037,8,rs
